                        <<score>>                
-------------------------------------------------
   name              kor eng mat sum avg     rank
-------------------------------------------------
kangjungwoo          100 100 100 300 100.00   1
park                 100 100 100 300 100.00   1
busan                 87  36  85 208  69.33   3
moon                 100  22  65 187  62.33   4
pusan                 12  76  89 177  59.00   5
kim                   56  74  38 168  56.00   6
lee                  100  20  30 150  50.00   7
jong                  28  38  48 114  38.00   8
woo                   30  60  23 113  37.67   9
kim                   20  50  20  90  30.00  10
